Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,Volume,Open Int,IV,Type,Last Trade,Avg IV
25.00,0.568,32.80,33.15,33.50,33.40,0.00,0,256,1.013,Call,10/17/22,0.617
30.00,0.482,28.05,28.35,28.65,29.32,1.17,1,102,0.966,Call,10/18/22,0.617
35.00,0.396,23.25,23.50,23.75,24.52,0.67,1,118,0.831,Call,10/18/22,0.617
40.00,0.309,18.70,18.92,19.15,18.45,-0.44,58,52,0.774,Call,10/18/22,0.617
45.00,0.223,14.50,14.65,14.80,14.41,-0.76,3,239,0.726,Call,10/18/22,0.617
50.00,0.137,10.60,10.73,10.85,10.19,-0.71,463,"1,556",0.673,Call,10/18/22,0.617
55.00,0.050,7.35,7.43,7.50,7.40,-0.10,251,"2,650",0.633,Call,10/18/22,0.617
60.00,-0.036,4.80,4.82,4.85,4.77,-0.13,"1,192","3,704",0.607,Call,10/18/22,0.617
65.00,-0.122,2.91,2.92,2.93,2.88,-0.06,"1,836","4,516",0.583,Call,10/18/22,0.617
70.00,-0.209,1.66,1.67,1.69,1.66,-0.06,"1,952","7,183",0.565,Call,10/18/22,0.617
75.00,-0.295,0.92,0.94,0.95,0.91,-0.06,963,"7,813",0.560,Call,10/18/22,0.617
80.00,-0.381,0.52,0.53,0.53,0.53,-0.01,980,"11,316",0.561,Call,10/18/22,0.617
85.00,-0.468,0.29,0.30,0.31,0.30,-0.04,"7,352","13,168",0.565,Call,10/18/22,0.617
90.00,-0.554,0.17,0.18,0.19,0.18,-0.04,814,"5,887",0.574,Call,10/18/22,0.617
95.00,-0.640,0.11,0.12,0.13,0.13,-0.02,47,"15,227",0.599,Call,10/18/22,0.617
100.00,-0.727,0.08,0.08,0.09,0.08,-0.03,124,"8,151",0.606,Call,10/18/22,0.617
105.00,-0.813,0.05,0.06,0.06,0.05,-0.02,46,"4,210",0.614,Call,10/18/22,0.617
25.00,-0.568,0.09,0.10,0.11,0.11,0.01,127,"8,572",1.028,Put,10/18/22,0.617
30.00,-0.482,0.20,0.21,0.21,0.20,0.00,82,"9,952",0.911,Put,10/18/22,0.617
35.00,-0.396,0.38,0.39,0.40,0.43,0.00,59,944,0.827,Put,10/18/22,0.617
40.00,-0.309,0.76,0.77,0.78,0.78,-0.01,177,"1,983",0.769,Put,10/18/22,0.617
45.00,-0.223,1.41,1.42,1.44,1.44,-0.03,613,"4,096",0.715,Put,10/18/22,0.617
50.00,-0.137,2.50,2.51,2.53,2.55,-0.03,"1,053","6,245",0.667,Put,10/18/22,0.617
55.00,-0.050,4.15,4.18,4.20,4.20,-0.02,"1,382","8,102",0.632,Put,10/18/22,0.617
60.00,0.036,6.50,6.53,6.55,6.59,0.02,"1,103","9,904",0.597,Put,10/18/22,0.617
65.00,0.122,9.50,9.63,9.75,10.17,0.72,48,"9,960",0.573,Put,10/18/22,0.617
70.00,0.209,13.20,13.43,13.65,14.06,0.62,55,"9,666",0.561,Put,10/18/22,0.617
75.00,0.295,17.50,17.68,17.85,18.19,0.44,41,"8,339",0.547,Put,10/18/22,0.617
80.00,0.381,22.20,22.35,22.50,23.03,0.80,27,"8,918",0.558,Put,10/18/22,0.617
85.00,0.468,26.80,27.13,27.45,27.33,0.03,6,"9,587",0.629,Put,10/18/22,0.617
90.00,0.554,31.75,32.08,32.40,32.19,0.14,11,"6,163",0.642,Put,10/18/22,0.617
95.00,0.640,36.75,37.08,37.40,37.65,0.75,13,"1,244",0.790,Put,10/18/22,0.617
100.00,0.727,41.75,42.48,43.20,41.30,0.00,0,413,0.878,Put,10/14/22,0.617
105.00,0.813,46.75,47.60,48.45,46.80,0.00,0,310,0.975,Put,10/17/22,0.617
