volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
2.4176188e7,52.6929,51.97,52.63,54.0,51.3,2020-10-19T04:00:00.0,148476
1.7343402e7,53.6445,53.14,53.53,54.195,52.75,2020-10-20T04:00:00.0,120905
1.2922246e7,53.5408,53.3,53.31,53.955,53.18,2020-10-21T04:00:00.0,83755
1.4842646e7,54.0508,53.29,54.38,54.85,53.08,2020-10-22T04:00:00.0,98244
1.6175695e7,52.8677,54.0905,52.85,54.12,52.38,2020-10-23T04:00:00.0,106369
1.1678896e7,52.0819,52.4,52.14,52.89,51.4,2020-10-26T04:00:00.0,77207
8.964755e6,51.9072,52.03,51.96,52.32,51.535,2020-10-27T04:00:00.0,67375
1.5463712e7,50.1674,50.75,50.0,50.85,49.57,2020-10-28T04:00:00.0,99669
1.24207e7,50.3522,49.71,50.48,50.91,49.38,2020-10-29T04:00:00.0,85495
1.596114e7,49.9289,50.01,50.34,50.43,49.3,2020-10-30T04:00:00.0,95163
1.3103224e7,49.8443,50.7865,49.71,50.7865,49.44,2020-11-02T05:00:00.0,86576
1.1428516e7,51.1317,50.13,51.08,51.5902,50.01,2020-11-03T05:00:00.0,83453
1.3554355e7,51.8553,51.73,51.96,52.5,50.93,2020-11-04T05:00:00.0,100229
1.6373614e7,54.1327,52.88,54.58,54.779,52.78,2020-11-05T05:00:00.0,122191
1.3866596e7,54.9611,54.46,55.16,55.41,54.33,2020-11-06T05:00:00.0,101697
2.0968501e7,56.885,56.47,55.96,57.83,55.87,2020-11-09T05:00:00.0,153518
1.4502115e7,55.2321,55.1292,55.41,55.94,54.36,2020-11-10T05:00:00.0,101681
1.4765542e7,56.4872,55.97,56.36,56.94,55.85,2020-11-11T05:00:00.0,100604
1.3766299e7,56.2828,56.6,56.25,56.97,55.89,2020-11-12T05:00:00.0,95596
1.4328409e7,57.7924,56.79,57.93,58.19,56.75,2020-11-13T05:00:00.0,91622
3.1397249e7,61.0326,59.715,61.86,61.91,59.61,2020-11-16T05:00:00.0,201485
1.7703614e7,61.5225,61.0,61.99,62.2,60.3,2020-11-17T05:00:00.0,117250
1.8734474e7,61.2562,61.5,60.74,62.04,60.625,2020-11-18T05:00:00.0,130414
1.2723552e7,61.1712,60.035,61.83,61.97,59.65,2020-11-19T05:00:00.0,90844
1.4122261e7,61.9739,61.48,61.4,62.635,61.35,2020-11-20T05:00:00.0,91391
2.0612569e7,63.9212,62.61,64.18,64.5,62.3,2020-11-23T05:00:00.0,144668
2.2625586e7,63.6188,64.288,63.95,64.288,62.89,2020-11-24T05:00:00.0,117835
1.246845e7,63.3752,63.66,63.43,64.0,62.61,2020-11-25T05:00:00.0,80834
7.500221e6,64.2518,63.83,64.23,64.8,63.51,2020-11-27T05:00:00.0,46617
2.037349e7,64.2853,64.56,64.09,65.25,63.58,2020-11-30T05:00:00.0,110639
3.6204105e7,67.1789,65.245,67.08,68.625,65.14,2020-12-01T05:00:00.0,222755
2.3298933e7,68.5881,67.61,69.11,69.39,66.76,2020-12-02T05:00:00.0,147386
2.0462288e7,70.3881,70.57,69.9,71.12,69.55,2020-12-03T05:00:00.0,141346
3.1860827e7,73.2207,71.105,73.34,74.38,70.54,2020-12-04T05:00:00.0,214577
1.7460614e7,72.2394,73.29,72.61,73.4,71.48,2020-12-07T05:00:00.0,126939
1.5341056e7,72.8934,72.0,73.19,73.545,71.98,2020-12-08T05:00:00.0,101322
1.836727e7,72.4575,73.15,71.41,74.605,70.78,2020-12-09T05:00:00.0,135710
1.5581787e7,71.2292,70.14,71.28,71.9478,69.67,2020-12-10T05:00:00.0,112106
1.5317745e7,70.3245,70.38,70.53,71.32,69.4,2020-12-11T05:00:00.0,108517
1.3564729e7,71.5585,71.4,71.54,72.2,71.03,2020-12-14T05:00:00.0,85304
1.154537e7,72.9407,72.81,73.15,73.37,72.33,2020-12-15T05:00:00.0,86400
1.3889265e7,73.2225,74.19,72.99,74.35,72.625,2020-12-16T05:00:00.0,97732
1.1988148e7,72.3277,73.5877,72.26,73.74,71.7636,2020-12-17T05:00:00.0,89027
2.3912509e7,71.9396,72.7,71.46,73.45,71.06,2020-12-18T05:00:00.0,101308
1.3180361e7,70.931,70.0,71.47,71.6987,69.65,2020-12-21T05:00:00.0,97763
